"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dorian Finney-Smith","Bro","F","30.9","64","28.5","13.3","9.8","44","0.727","166","0.554","324","0.352","0.537","0.548","8.7","4.7","1.6","0.8","0.6","0.8","13.4","10.3","15","5.7","113.8","112.3"
"","Payton Pritchard","Bos","G","26.2","73","21.6","16.4","8.9","48","0.813","189","0.561","332","0.386","0.572","0.586","8.7","3.2","3.1","0.4","0.1","0.7","11.9","11.8","15","8.2","127.3","110.6"
"","Sam Hauser","Bos","F","26.3","70","21.5","14.3","6.2","17","0.882","63","0.619","394","0.434","0.647","0.652","8.7","3.4","0.9","0.5","0.3","0.4","12.1","9.6","13","5.6","128.7","109.7"
"","Malaki Branham","San","F","20.9","69","20.3","19.7","12.6","58","0.897","322","0.494","227","0.339","0.5","0.523","8.7","1.9","2.1","0.4","0.1","1.1","10.6","10.8","12.7","6.4","101.3","117.5"
"","Danilo Gallinari","Det","F","35.6","6","14.9","15.9","4.3","24","0.875","10","0.5","12","0.583","0.705","0.799","8.7","2.3","2","0.3","0.3","0.2","11","10.7","13","9.2","170","112.2"
"","Draymond Green","Gol","F","34.1","48","26.6","15.6","25.4","65","0.754","218","0.541","114","0.377","0.55","0.574","8.6","7.3","5.9","0.8","0.8","2.4","15.9","14.5","21.8","10.8","114.4","104.4"
"","Precious Achiuwa","Nyk","F","24.5","41","25.9","14.2","15.2","66","0.652","229","0.594","45","0.267","0.562","0.579","8.6","7.7","1.2","0.7","1.3","1.2","16.3","9.8","17.5","6.6","118.3","105.9"
"","Kyle Lowry","Phi","G","38","17","28.6","13.2","17.6","29","0.862","40","0.5","72","0.375","0.54","0.585","8.6","2.9","4.5","1","0.2","1.4","11.5","13.1","15.9","6.7","119.2","112.3"
"","Al Horford","Bos","C-F","37.8","59","27.2","11.7","10.5","28","0.893","142","0.641","233","0.421","0.635","0.647","8.5","6.5","2.6","0.6","1","0.7","15","11.1","17.6","7.7","134.4","108.2"
"","Josh Green","Dal","G","23.4","54","26.6","13","13.8","55","0.673","178","0.584","177","0.401","0.593","0.604","8.5","3.2","2.3","0.8","0.2","1.1","11.7","10.8","14","6","117.6","113"
"","Jabari Walker","Por","F","21.7","65","22.6","16.1","12","143","0.755","314","0.548","118","0.28","0.513","0.557","8.5","6.4","0.9","0.6","0.3","0.9","14.9","9.4","15.8","6.5","114.2","108.7"
"","Royce O'Neale","Pho","F","30.8","22","25.4","14.2","9.5","9","0.667","46","0.5","116","0.388","0.559","0.563","8.5","5.4","2.9","0.9","0.5","0.8","13.9","11.4","16.8","8","120","109.9"
"","Terance Mann","Lac","G-F","27.4","66","25.3","13.4","8.4","81","0.827","245","0.6","189","0.344","0.563","0.592","8.4","3.3","1.6","0.6","0.2","0.6","11.7","10.1","13.4","5.6","124.4","113.8"
"","David Roddy","Mem","F","23","48","23.2","18.2","12.3","67","0.687","230","0.47","156","0.301","0.462","0.485","8.4","4.2","1.6","0.5","0.2","1.1","12.6","10","14.1","6.6","98.2","112.7"
"","Bilal Coulibaly","Was","G","19.7","63","27.2","14.2","16.8","131","0.702","247","0.502","185","0.346","0.509","0.543","8.4","4.1","1.7","0.9","0.8","1.4","12.5","10.2","14.3","5.7","102.6","116"
"","Andre Drummond","Chi","C","30.6","74","17","21.4","14.7","206","0.592","445","0.555","3","0","0.551","0.572","8.3","8.8","0.5","0.9","0.6","1","17.1","8.8","17.6","7.8","117.2","101.7"
"","Sam Merrill","Cle","G","27.9","56","17.8","17.6","4.7","26","0.923","36","0.417","332","0.41","0.595","0.609","8.3","2","1.8","0.3","0.1","0.3","10.3","10","12.1","7","126.3","110.7"
"","Jordan Hawkins","Nor","G","21.9","62","18","20.1","7.9","80","0.838","154","0.422","290","0.366","0.505","0.537","8.3","2.3","1.1","0.3","0.1","0.6","10.6","9.4","11.7","6.1","109.7","111.4"
"","Kyle Lowry","Mia","G","38","37","28","13.4","17.7","42","0.833","81","0.506","161","0.385","0.554","0.582","8.2","3.5","4","1.1","0.4","1.4","11.6","12.2","15.6","6.9","115.7","106.1"
"","Isaiah Joe","Okc","G","24.7","69","18.4","16.8","8.5","44","0.864","118","0.559","314","0.417","0.608","0.624","8.2","2.2","1.2","0.6","0.3","0.6","10.4","9.3","11.6","6.1","120.3","111.9"
"","Ziaire Williams","Mem","F","22.5","51","20.3","19.8","14.9","75","0.827","189","0.487","189","0.307","0.474","0.511","8.2","3.5","1.5","0.7","0.2","1.3","11.8","9.7","13.2","6.9","98.3","109.5"
"","Walker Kessler","Uta","C","22.7","62","23.4","12.9","16.2","93","0.602","322","0.68","19","0.211","0.66","0.662","8.2","7.6","0.9","0.5","2.4","1.1","15.8","9.1","16.7","6.5","124.5","112.2"
"","Davis Bertans","Cha","F","31.4","20","20","17.7","6.5","15","0.867","22","0.364","122","0.369","0.524","0.544","8.2","1.8","1","0.8","0.3","0.5","10","9.2","11","4.9","108.3","117.4"
"","Kelly Olynyk","Uta","F-C","32.9","50","20.4","15.6","23.9","95","0.842","174","0.626","84","0.429","0.632","0.677","8.1","5.1","4.4","0.7","0.2","1.6","13.2","12.5","17.6","11.1","129","107.6"
"","Dante Exum","Dal","G","28.7","47","19.3","15.7","13.2","66","0.773","173","0.566","90","0.5","0.629","0.654","8.1","2.6","2.8","0.4","0.1","0.9","10.7","11","13.5","8.1","129.9","112"
"","Dario Saric","Gol","F-C","30","62","17.4","19.2","16.3","89","0.854","187","0.556","194","0.376","0.56","0.599","8.1","4.5","2.3","0.5","0.1","1.2","12.6","10.4","14.9","10.1","118.6","106.7"
"","Grant Williams","Dal","F","25.3","47","26.4","13.6","14.3","55","0.745","107","0.486","210","0.376","0.538","0.56","8.1","3.6","1.7","0.5","0.6","1.1","11.7","9.9","13.4","5.6","110.1","109.5"
"","Moses Moody","Gol","G","21.8","57","17.1","18.8","9.7","78","0.795","191","0.576","173","0.341","0.545","0.576","8.1","3","0.8","0.7","0.4","0.7","11.1","8.9","11.9","6.3","115.8","111.3"
"","Derrick Rose","Mem","G","35.5","24","16.6","22.4","15.8","27","0.889","124","0.492","41","0.366","0.506","0.54","8","1.9","3.3","0.3","0.1","1.3","9.8","11.2","13.1","8.9","108.5","115"
"","Precious Achiuwa","Tor","F","24.5","25","17.5","21.3","14.6","42","0.571","123","0.528","47","0.277","0.497","0.512","7.7","5.4","1.8","0.6","0.5","1.2","13.2","9.5","14.9","9.6","105.9","109.8"
"","Miles McBride","Nyk","G","23.6","60","18","16.5","6","40","0.85","158","0.506","215","0.419","0.576","0.594","7.7","1.3","1.6","0.7","0.1","0.4","9","9.3","10.6","5.6","127.1","108.6"
"","Gradey Dick","Tor","G","20.4","52","19.7","17","10.5","37","0.892","156","0.5","194","0.361","0.523","0.545","7.7","2","1.3","0.5","0","0.8","9.7","8.9","11","5.5","106.1","115.9"
"","Alec Burks","Nyk","G","32.7","18","14.8","28.1","8.7","31","0.71","71","0.338","76","0.303","0.398","0.433","7.7","1.8","0.8","0.2","0.1","0.8","9.6","8.6","10.4","6","93.3","114.3"
"","Chimezie Metu","Det","F-C","27","6","26","14.8","18.2","12","0.917","26","0.615","14","0.071","0.438","0.508","7.7","4.5","2.2","1.3","0.7","1.5","12.2","9.8","14.3","6.5","100.6","108.5"
"","Nickeil Alexander-Walker","Min","F","25.6","73","23.6","14.3","12.7","56","0.786","174","0.511","291","0.385","0.553","0.57","7.6","2","2.5","0.8","0.5","0.9","9.7","10.2","12.2","5.7","114.4","106.5"
"","Marcus Sasser","Det","G","23.5","64","17.8","19.2","14.7","55","0.873","224","0.478","195","0.379","0.52","0.546","7.6","1.7","3.2","0.6","0.1","1.1","9.3","10.8","12.5","7.8","110.2","114.6"
"","Trayce Jackson-Davis","Gol","F","24.1","59","15.5","16.5","11.8","109","0.55","275","0.709","1","0","0.707","0.695","7.6","4.7","1.1","0.4","1.1","0.6","12.3","8.7","13.5","8.8","135.6","106.6"
"","Markelle Fultz","Orl","G","25.8","34","21.4","18.2","13.3","27","0.63","242","0.488","11","0.091","0.472","0.483","7.5","3.2","2.9","1","0.3","1.1","10.7","10.4","13.6","7.7","105.1","107.5"
"","Cody Martin","Cha","F","28.5","28","26.9","16","17","33","0.606","129","0.426","86","0.314","0.444","0.46","7.5","3.9","3.7","1.1","0.6","1.6","11.4","11.3","15.1","7.1","96.6","115.9"
"","Toumani Camara","Por","F","23.9","70","24.8","13.9","16.1","99","0.758","266","0.523","172","0.337","0.516","0.547","7.5","4.9","1.2","0.9","0.5","1.2","12.4","8.8","13.7","5.7","109.1","111.2"
"","Royce O'Neale","Bro","F","30.8","49","24.5","13.9","13.6","22","0.682","60","0.483","265","0.366","0.537","0.544","7.4","4.5","2.8","0.7","0.6","1","11.9","10.2","14.7","7.4","112","108.6"
"","Isaiah Hartenstein","Nyk","C-F","25.9","67","24.9","11.7","19.7","130","0.731","314","0.634","3","0.333","0.632","0.663","7.4","8.3","2.3","1.1","1.1","1.2","15.7","9.7","18","8.4","132.8","100.4"
"","Jaden Hardy","Dal","G","21.7","64","13.5","24.7","10.2","64","0.766","222","0.45","202","0.366","0.498","0.521","7.4","1.7","1.5","0.3","0.1","0.8","9","8.9","10.6","7.9","105.1","112.9"
"","Jordan Goodwin","Mem","G","25.4","9","27.6","18.3","17","12","0.417","52","0.365","31","0.258","0.373","0.379","7.4","5.1","4.6","1.6","1","1.9","12.6","12","17.1","8.1","88.7","110.7"
"","Quentin Grimes","Nyk","G","23.9","45","20.2","15.2","6.8","34","0.706","74","0.486","212","0.363","0.53","0.543","7.3","2","1.2","0.7","0.1","0.5","9.2","8.4","10.4","5.1","115.4","109.5"
"","Naji Marshall","Nor","F","26.2","61","19.3","16.6","14.8","82","0.793","205","0.517","147","0.381","0.54","0.573","7.3","3.7","2","0.8","0.2","1","11","9.3","13","7.8","114.5","107.6"
"","Jordan Nwora","Tor","F","25.6","26","14.2","22.4","14.4","31","0.871","86","0.57","68","0.324","0.532","0.57","7.3","2.8","1.1","0.7","0.3","1","10.2","8.5","11.3","8","105.3","112.1"
"","Kevin Knox II","Det","F","24.6","31","18.1","16.5","10.6","22","0.909","92","0.598","94","0.33","0.546","0.57","7.2","2.4","0.7","0.4","0.2","0.7","9.6","7.9","10.4","5.1","109.2","114.2"
"","Paul Reed","Phi","F","24.8","74","19.3","15.7","12.2","77","0.753","373","0.552","53","0.377","0.554","0.576","7.2","5.9","1.3","0.8","1","0.8","13.1","8.4","14.3","7.9","121.5","103.1"
"","Evan Fournier","Det","G-F","31.4","22","18","19","10.3","27","0.815","59","0.492","89","0.292","0.459","0.494","7.2","1.9","1.5","1","0.1","0.8","9","8.7","10.5","6.1","100.9","112.6"
"","Gary Harris","Orl","G","29.5","47","23","12.3","9.4","43","0.744","83","0.627","176","0.375","0.583","0.601","7.1","1.6","1.5","0.9","0.3","0.6","8.7","8.6","10.2","4.5","121.3","109"
"","Trey Lyles","Sac","F","28.4","49","19.8","14.1","10.6","63","0.698","82","0.598","180","0.383","0.582","0.602","7.1","4.4","1.1","0.3","0.3","0.6","11.5","8.2","12.7","6.6","120.2","111.4"
"","Landry Shamet","Was","G","27","46","15.8","18.8","9.9","46","0.826","117","0.556","157","0.338","0.527","0.556","7.1","1.3","1.2","0.5","0.2","0.7","8.5","8.3","9.6","5.6","107.7","114.9"
"","Day'Ron Sharpe","Bro","C","22.4","56","15.2","19.6","18.6","123","0.61","258","0.597","13","0.308","0.59","0.607","7.1","6.4","1.4","0.4","0.7","1.1","13.5","8.5","14.9","10.5","121","100.2"
"","Christian Braun","Den","G","23","74","19.4","16","10.2","123","0.691","286","0.5","138","0.37","0.518","0.548","7.1","3.6","1.4","0.5","0.4","0.6","10.7","8.5","12.1","6.8","114.3","108.7"
"","Richaun Holmes","Was","F","30.5","17","18.7","14.8","12","26","0.846","85","0.565","3","0.333","0.563","0.608","7.1","6.1","0.6","0.5","0.6","0.7","13.2","7.7","13.8","6.3","123.3","108.3"
"","Danilo Gallinari","Was","F","35.6","26","14.8","18.3","8.4","56","0.839","67","0.552","64","0.313","0.511","0.581","7","2.9","1.2","0.2","0.1","0.5","9.9","8.2","11.1","7.8","119.1","116.8"
"","Keon Johnson","Bro","G","22.1","4","12.8","23.2","17.1","10","1","10","0.3","9","0.444","0.474","0.598","7","1.3","0.8","0.8","0.3","1","8.3","7.8","9","6.1","114.8","112.5"
"","Trey Jemison","Mem","C","24.3","16","21.8","13.9","20.9","17","0.824","83","0.59","0","0","0.59","0.619","7","4.8","1","0.4","1","1.4","11.8","8","12.8","5.9","113.4","105"
"","Marcus Morris Sr.","Cle","F","34.6","6","18","17.4","14.9","6","0.667","16","0.438","18","0.444","0.559","0.573","7","3.3","1.2","0.2","0.2","1","10.3","8.2","11.5","6.7","105.9","110.6"
"","Christian Wood","Lal","F","28.5","50","17.4","17.6","15.9","94","0.702","150","0.587","114","0.307","0.532","0.568","6.9","5.1","1","0.3","0.7","1","12","7.9","13","7.5","106.5","107.5"
"","Jonathan Isaac","Orl","F","26.5","51","15.3","17.2","8.7","75","0.72","155","0.6","96","0.396","0.598","0.623","6.9","4.4","0.5","0.7","1.2","0.5","11.3","7.4","11.8","6.5","125.2","104.4"
"","James Wiseman","Det","C","23","55","16.1","16.6","18.4","85","0.706","250","0.644","2","0","0.639","0.66","6.9","5","0.8","0.2","0.6","1","11.9","7.8","12.7","7.5","119.9","107"
"","Killian Hayes","Det","G","22.7","42","24","15","15.3","50","0.66","209","0.455","74","0.297","0.452","0.474","6.9","2.8","4.9","0.9","0.5","1.2","9.7","11.8","14.6","7.6","106.6","114.9"
"","Jose Alvarado","Nor","G","26","51","17.8","17.6","10.9","50","0.68","131","0.458","178","0.371","0.515","0.532","6.9","2.3","2.1","1.1","0.3","0.7","9.2","9","11.3","7.2","110.9","105.9"
"","Cason Wallace","Okc","G","20.4","73","20.7","12.7","8.9","33","0.758","179","0.592","211","0.422","0.614","0.623","6.9","2.3","1.4","0.8","0.4","0.5","9.2","8.3","10.6","5.4","124.1","110.5"
"","Robert Williams III","Por","C-F","26.5","6","19.8","13.3","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","121","101.6"
"","Shake Milton","Det","G-F","27.5","4","15.8","20.4","10.2","3","0.667","17","0.471","9","0.333","0.481","0.494","6.8","4.5","1.5","0.5","0.3","0.8","11.3","8.3","12.8","9.1","107.5","116.5"
"","Ochai Agbaji","Tor","G","23.9","21","21.6","16.7","12.5","22","0.591","89","0.494","58","0.241","0.442","0.456","6.8","3.2","1.2","0.7","0.4","1","10","8","11.3","5.5","95.8","114.8"
"","Marcus Morris Sr.","Phi","F","34.6","37","17.2","16.2","8.5","36","0.861","115","0.47","90","0.4","0.527","0.559","6.7","2.9","0.7","0.4","0.3","0.5","9.6","7.4","10.3","5.6","112.2","109"
"","Dennis Smith Jr.","Bro","G","26.3","55","19.2","17.6","16.8","58","0.741","228","0.5","108","0.296","0.482","0.508","6.7","3","3.7","1.2","0.2","1.2","9.7","10.4","13.3","8.8","110.1","106"
"","Jahmi'us Ramsey","Tor","G","22.8","7","17.3","17.9","14.5","6","0.833","19","0.632","22","0.273","0.512","0.538","6.7","3.1","1.1","1","0","1","9.9","7.9","11","6.6","101.6","111"
"","Kyle Anderson","Min","F-G","30.5","70","22.9","14.4","17.8","130","0.715","343","0.499","40","0.225","0.482","0.525","6.6","3.6","4.3","0.9","0.6","1.2","10.2","10.9","14.5","8.2","116.1","105.3"
"","Cedi Osman","San","F","29","70","17.4","15","11","52","0.673","155","0.6","210","0.381","0.584","0.594","6.6","2.5","1.7","0.5","0.2","0.6","9.1","8.3","10.8","7","115","112.5"
"","Matt Ryan","Nor","F","27","23","16","15.9","13.9","14","0.929","22","0.364","89","0.461","0.626","0.649","6.6","1.7","0.7","0.3","0","0.8","8.3","7.3","9","5","115.5","109.4"
"","Isaiah Jackson","Ind","F","22.2","55","12.8","17.8","14.8","98","0.704","215","0.679","4","0","0.667","0.689","6.6","4.1","0.9","0.6","1","0.7","10.6","7.4","11.5","9.1","132.5","100.4"
"","Nikola Jovic","Mia","F","20.8","37","18.5","16.4","14.8","35","0.6","87","0.471","114","0.412","0.555","0.564","6.6","4","1.9","0.5","0.3","0.9","10.6","8.5","12.5","8","109.2","103.6"
"","Peyton Watson","Den","G","21.5","72","18.2","16.5","11.2","96","0.677","259","0.544","144","0.299","0.51","0.535","6.6","3.1","1","0.5","1","0.7","9.7","7.6","10.7","6","107","107.5"
"","Taylor Hendricks","Uta","F","20.4","32","20.6","13.6","10.3","22","0.818","73","0.575","110","0.327","0.525","0.545","6.6","4.8","0.6","0.6","0.8","0.7","11.3","7.2","11.9","5.2","110.7","111.5"
"","Spencer Dinwiddie","Lal","G","31","20","24.8","12.3","16.6","35","0.829","43","0.395","62","0.371","0.49","0.548","6.6","1.5","2.7","0.5","0.5","1.1","8.1","9.3","10.7","4.8","108.4","112.8"
"","Aleksej Pokusevski","Cha","F","22.3","10","19.4","16.1","14","16","0.75","33","0.545","22","0.273","0.491","0.532","6.6","4.1","1.9","1.1","0.6","0.9","10.7","8.5","12.6","7.7","110.4","116"
"","Aaron Holiday","Hou","G","27.5","70","16.4","16.5","11.4","56","0.929","177","0.497","194","0.392","0.544","0.576","6.5","1.6","1.8","0.5","0.1","0.7","8.1","8.4","10","6.5","116.9","108"
"","Jeff Green","Hou","F","37.6","69","16.8","15.2","12.3","132","0.811","185","0.551","127","0.339","0.534","0.594","6.4","2.2","0.8","0.2","0.4","0.6","8.6","7.2","9.5","5.3","117.7","110.2"
"","Jae Crowder","Mil","F","33.7","42","23.5","11","7.5","26","0.692","86","0.57","137","0.372","0.563","0.574","6.4","3.3","1.4","0.8","0.2","0.4","9.7","7.8","11.1","5.3","118.7","111.5"
"","Chris Boucher","Tor","F-C","31.2","50","14.1","17.3","11.4","92","0.772","123","0.642","94","0.33","0.578","0.625","6.4","4.1","0.5","0.3","0.5","0.6","10.6","6.9","11","6.7","122.9","110"
"","Tosan Evbuomwan","Det","F","23.1","10","20.2","11.7","12.7","20","0.65","23","0.652","18","0.389","0.622","0.643","6.4","3.3","0.4","0.3","0.1","0.6","9.7","6.8","10.1","4","119.8","115.7"
"","Patrick Beverley","Phi","G","35.7","47","19.6","14.9","16.9","63","0.81","132","0.523","109","0.321","0.504","0.547","6.3","3.1","3.1","0.5","0.4","1","9.3","9.3","12.4","8","114.6","109.8"
"","Mitchell Robinson","Nyk","C","26","23","28.1","10.4","19.1","44","0.386","110","0.582","0","0","0.582","0.56","6.3","10","0.7","1.4","1.3","1.1","16.3","7","17","5","119.9","106.4"
"","Skylar Mays","Por","G","26.6","21","17","19.6","11.5","17","0.765","89","0.438","49","0.286","0.435","0.457","6.3","1.8","3.6","0.7","0.1","0.9","8.1","9.9","11.7","8.1","106.7","117.3"
"","Aaron Wiggins","Okc","G","25.2","69","14.8","15.4","13.8","55","0.764","186","0.624","107","0.505","0.672","0.687","6.3","2.3","0.9","0.6","0.2","0.7","8.6","7.2","9.6","6.4","127.1","110.4"
"","Patty Mills","Mia","G","35.6","11","17.7","19.5","9.8","9","1","26","0.577","47","0.213","0.411","0.448","6.3","1.3","1.7","1","0","0.7","7.5","8","9.3","5.4","95.8","108.8"
"","Cameron Payne","Mil","G","29.6","47","14.9","16.7","12.2","44","0.841","91","0.538","131","0.397","0.572","0.603","6.2","1.3","2.3","0.5","0.1","0.7","7.5","8.5","9.8","7.1","122.2","109.2"
"","Torrey Craig","Chi","F","33.3","45","20.5","12.9","10.9","33","0.758","86","0.512","142","0.387","0.555","0.573","6.2","4.1","1.2","0.6","0.4","0.6","10.3","7.3","11.5","6.1","118.9","108.6"
"","Amir Coffey","Lac","G-F","26.8","61","19.7","11.8","9.8","56","0.875","129","0.597","139","0.417","0.612","0.644","6.2","1.9","1.1","0.5","0.2","0.5","8.1","7.2","9.2","4.8","127.2","114.2"
"","Ben Simmons","Bro","G","27.7","15","23.9","13","26.7","15","0.4","74","0.581","0","0","0.581","0.571","6.1","7.9","5.7","0.8","0.6","1.8","14.1","11.9","19.8","10.9","120.4","105.4"
"","Daniel Theis","Lac","F-C","32","54","16.8","15.2","12.6","46","0.739","198","0.576","58","0.379","0.574","0.594","6.1","3.9","1.1","0.4","0.9","0.7","10","7.1","11.1","7.1","121.3","105.6"
"","Julian Champagnie","San","F","22.8","66","18.2","14.2","11.8","71","0.817","97","0.474","232","0.366","0.527","0.562","6.1","2.6","1.2","0.6","0.5","0.7","8.7","7.4","9.9","5.9","110.5","115.8"
"","Doug McDermott","San","F","32.2","46","15.2","14.8","10","17","0.588","42","0.452","173","0.439","0.619","0.62","6","1","1.2","0.2","0","0.5","7","7.2","8.3","5.1","116","117.1"
"","Xavier Tillman","Mem","C","25.2","34","20.6","16.1","12","43","0.419","160","0.469","53","0.226","0.437","0.44","6","4.6","1.7","1.2","1","0.9","10.6","7.7","12.3","7","97.8","107.3"
"","Trendon Watford","Bro","F","23.4","55","11.7","20.7","14.1","69","0.855","184","0.571","53","0.396","0.576","0.621","6","2.7","1.1","0.4","0.3","0.7","8.7","7.2","9.8","8.9","120.8","104.5"
"","Justin Champagnie","Was","G-F","22.8","10","15.1","17.9","15.2","12","0.833","18","0.556","32","0.313","0.5","0.543","6","2.9","1.2","0.6","0.6","0.9","8.9","7.2","10.1","7.3","107.3","115.5"
"","Javonte Green","Chi","G","30.7","2","17.7","11.2","22.2","0","0","4","0.75","3","0.667","0.857","0.857","6","2.5","0.5","1","0.5","1","8.5","6.5","9","4.4","121","108.9"
"","Brandon Clarke","Mem","F","27.5","1","20.9","15.3","0","1","0","6","0.5","1","0","0.429","0.403","6","5","1","1","0","0","11","7","12","5.9","105","113.9"
"","Haywood Highsmith","Mia","F","27.3","57","19.7","12.4","9.4","33","0.697","110","0.536","160","0.406","0.58","0.59","5.9","2.8","1","0.8","0.4","0.5","8.7","6.9","9.7","5.2","118.1","106.3"
"","Craig Porter","Cle","G","24.1","48","13.3","20.4","16.3","56","0.732","192","0.536","34","0.353","0.535","0.565","5.9","2.2","2.4","0.4","0.3","0.9","8.1","8.3","10.5","9.5","114.1","109.3"
"","Ricky Council IV","Phi","G","22.7","26","9","24.3","3.9","68","0.735","71","0.535","27","0.333","0.526","0.598","5.9","1.6","0.4","0.1","0","0.2","7.5","6.3","7.9","6.9","128","114.9"
"","Bones Hyland","Lac","G","23.5","32","13.6","23.8","17.1","18","0.778","85","0.424","104","0.317","0.452","0.47","5.8","1.1","2.2","0.6","0.1","1.2","6.8","8","9.1","7.1","94.8","110.4"
"","Cam Reddish","Lal","F-G","24.6","45","21.3","12.7","12","54","0.759","120","0.442","108","0.333","0.469","0.506","5.7","2.2","1","1","0.3","0.7","7.8","6.7","8.9","4.4","101.7","112.3"
"","Jaylen Nowell","Mem","G","24.7","9","17.4","16.9","8.3","3","1","32","0.563","23","0.174","0.436","0.453","5.7","1.6","1.8","0.3","0","0.6","7.2","7.4","9","5.8","98.5","112.4"
"","Vit Krejci","Atl","G","23.8","13","25.3","9.1","15.6","5","0.8","22","0.636","37","0.378","0.593","0.605","5.7","2","2.3","0.5","0.5","0.8","7.7","8","10","4.7","120.3","115.5"
"","Pat Connaughton","Mil","G","31.2","67","21.7","10.4","12.6","45","0.756","91","0.648","201","0.373","0.587","0.605","5.6","3.1","2","0.5","0.2","0.6","8.8","7.6","10.7","6","123.5","113.9"
"","Larry Nance Jr.","Nor","F-C","31.2","54","19.6","11","16.7","53","0.736","150","0.653","54","0.426","0.65","0.669","5.6","5.1","1.7","1","0.3","0.8","10.7","7.3","12.4","7.4","131.6","105.4"
"","Sasha Vezenkov","Sac","F","28.6","35","12.6","17.6","6.2","13","0.769","65","0.554","100","0.38","0.564","0.574","5.6","2.5","0.4","0.5","0.2","0.3","8.1","6","8.5","5.6","116.7","111"
"","Bruno Fernando","Atl","F-C","25.6","36","13.8","16.7","19.8","63","0.651","133","0.609","4","0","0.591","0.616","5.6","4.3","0.8","0.6","0.7","0.9","10","6.5","10.8","7.8","116.1","103.7"
"","Brice Sensabaugh","Uta","F","20.4","24","16.1","19.4","20.1","22","0.864","64","0.547","71","0.211","0.426","0.463","5.6","2.8","1.6","0.3","0.1","1.4","8.4","7.2","10","7.3","89.8","116.5"
"","Nick Smith Jr.","Cha","G","19.9","46","14","19.5","12.5","13","0.846","120","0.358","125","0.424","0.5","0.511","5.6","1.3","1.1","0.2","0.2","0.8","6.9","6.7","8","5.7","98.9","117.2"
"","Javon Freeman-Liberty","Tor","G","24.4","13","15.7","16.7","15.4","20","0.9","39","0.59","21","0.143","0.458","0.531","5.6","2.5","1.5","0.3","0.2","0.8","8.2","7.2","9.7","7","107.2","114.9"
"","Malachi Flynn","Det","G","25.9","16","11.5","22.5","13.1","15","0.667","41","0.488","38","0.342","0.5","0.52","5.6","1.8","1.4","0.6","0.1","0.8","7.3","6.9","8.7","8.4","104.1","116.1"
"","Mason Plumlee","Lac","F-C","34.1","38","14.5","15","18.8","87","0.69","120","0.625","1","0","0.62","0.659","5.5","5.1","1.1","0.3","0.3","0.7","10.6","6.6","11.7","8.7","129.4","106"
"","Bol Bol","Pho","C-F","24.4","36","11.3","16.6","10","17","0.765","89","0.719","45","0.422","0.69","0.7","5.5","3.3","0.4","0.2","0.6","0.4","8.8","5.9","9.3","6.9","131.5","106.9"
"","Dyson Daniels","Nor","G","21","52","21.9","12.6","16.9","50","0.64","146","0.548","110","0.291","0.5","0.518","5.5","3.7","2.6","1.4","0.4","1","9.2","8.2","11.8","6.9","110.5","106.6"
"","Dexter Dennis","Dal","G","25.1","4","7.5","33.4","13.5","3","0.333","11","0.818","8","0.125","0.553","0.541","5.5","2.3","1","0","0.3","0.8","7.8","6.5","8.8","12.4","100.3","114"
"","Kris Dunn","Uta","G","30","63","18.7","13.6","20.6","25","0.68","190","0.526","106","0.387","0.546","0.554","5.4","2.8","3.8","1","0.4","1.2","8.2","9.2","12.1","8.3","115.7","110.7"
"","Thomas Bryant","Mia","C-F","26.7","36","11.3","18.9","11.1","45","0.867","115","0.626","21","0.19","0.574","0.626","5.4","3.6","0.6","0.3","0.4","0.5","9","6","9.6","8","124.9","102.1"
"","Goga Bitadze","Orl","C-F","24.7","56","16.5","13.1","17","81","0.667","187","0.642","13","0.154","0.615","0.637","5.4","4.9","1.4","0.5","1.3","0.7","10.3","6.8","11.6","8.1","128.8","101.5"
"","Gabe Vincent","Lal","G","27.8","5","25.5","11.8","5.8","2","0.5","15","0.667","17","0.118","0.406","0.411","5.4","1","3","1.2","0","0.4","6.4","8.4","9.4","4","100","110.8"
"","Matisse Thybulle","Por","F","27.1","65","22.9","10.6","11.2","29","0.759","86","0.535","231","0.346","0.524","0.537","5.4","2.1","1.4","1.7","0.8","0.6","7.5","6.8","8.9","4.4","110.4","114.6"
"","Dean Wade","Cle","F","27.4","54","20.5","10.5","7.9","26","0.769","30","0.567","202","0.391","0.584","0.598","5.4","4","0.8","0.7","0.5","0.4","9.4","6.2","10.2","5","120.5","105.5"
"","Ochai Agbaji","Uta","G","23.9","51","19.7","12.1","12","20","0.75","107","0.551","142","0.331","0.52","0.531","5.4","2.5","0.9","0.5","0.6","0.7","7.8","6.3","8.8","4.7","106.6","117.8"
"","Johnny Juzang","Uta","G","23","13","14.5","14.5","9.2","1","1","16","0.75","43","0.349","0.585","0.589","5.4","1.5","0.8","0","0","0.5","6.9","6.2","7.7","5.1","115.4","118.3"
