"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jaylen Brown","Bos","F","27.4","65","33.5","28.8","11.3","289","0.699","788","0.576","381","0.354","0.562","0.584","23.3","5.5","3.6","1.2","0.5","2.3","28.8","26.9","32.4","9.2","114.7","106.9"
"","Terry Rozier","Cha","G","30","30","35.5","27.7","10.6","129","0.845","317","0.533","232","0.358","0.535","0.574","23.2","3.9","6.6","1.1","0.4","2.2","27.1","29.8","33.7","9.5","116.5","119.2"
"","Lauri Markkanen","Uta","F","26.9","55","33.1","25","8","277","0.899","451","0.559","439","0.399","0.578","0.631","23.2","8.2","2","0.9","0.5","1.4","31.4","25.2","33.4","8.8","127.5","116.6"
"","Zion Williamson","Nor","F","23.7","62","31.1","29.2","15.1","430","0.702","928","0.589","14","0.357","0.589","0.624","22.8","5.8","5","1","0.6","2.7","28.6","27.8","33.6","11.2","120.7","108.3"
"","Dejounte Murray","Atl","G","27.5","70","35.6","26.4","11.5","240","0.804","818","0.523","492","0.366","0.533","0.561","22.7","5.3","6.2","1.5","0.3","2.4","28","28.9","34.2","10.2","115.6","117.6"
"","Anfernee Simons","Por","G","24.8","46","34.4","28.1","13.1","178","0.916","432","0.472","405","0.385","0.523","0.568","22.6","3.6","5.5","0.5","0.1","2.7","26.2","28.1","31.8","8.9","113.2","117.7"
"","Paolo Banchero","Orl","F","21.4","71","34.8","29.5","15.4","489","0.712","933","0.498","301","0.355","0.507","0.552","22.5","6.8","5.3","1","0.5","3.2","29.3","27.8","34.6","10.7","109.2","108.3"
"","Paul George","Lac","G","33.9","67","34.1","26.4","10.7","246","0.898","586","0.524","543","0.407","0.566","0.605","22.4","5.3","3.6","1.6","0.5","2","27.6","25.9","31.2","8.8","118","109.8"
"","Cade Cunningham","Det","G","22.5","61","33.4","30.6","15.4","266","0.868","814","0.485","331","0.35","0.497","0.542","22.4","4.3","7.5","0.9","0.4","3.4","26.8","29.9","34.2","10.7","108.2","115.4"
"","Kyle Kuzma","Was","F","28.7","69","32.5","29.8","12.7","239","0.774","852","0.531","445","0.335","0.521","0.548","22.3","6.6","4.2","0.5","0.7","2.7","28.8","26.5","33.1","10.5","104","116.4"
"","Jaren Jackson Jr.","Mem","F","24.5","63","32.2","30.4","12.2","395","0.805","750","0.5","353","0.32","0.494","0.551","22.3","5.6","2.3","1.2","1.6","2.4","27.9","24.7","30.2","8.2","106.2","106.1"
"","Pascal Siakam","Tor","F","30","39","34.7","25.4","11.8","223","0.758","478","0.584","145","0.317","0.559","0.6","22.2","6.3","4.8","0.8","0.3","2.1","28.5","27","33.3","10.1","118.6","115.2"
"","Karl-Anthony Towns","Min","F","28.4","60","32.8","27.5","15.4","286","0.874","614","0.55","317","0.423","0.579","0.628","22.1","8.4","3","0.7","0.7","2.8","30.5","25.1","33.5","10","115.8","100.1"
"","Cam Thomas","Bro","G","22.5","58","31","30.3","9.4","274","0.85","694","0.484","334","0.362","0.503","0.552","21.9","3.3","2.9","0.7","0.2","1.8","25.1","24.8","28","7.7","109.7","114.3"
"","Pascal Siakam","Ind","F","30","34","32.3","24.9","8.2","150","0.693","451","0.583","87","0.379","0.581","0.603","21.4","7.9","4.1","0.8","0.4","1.4","29.4","25.5","33.5","11","123.2","114"
"","Jimmy Butler","Mia","F","34.5","51","33.9","24.4","11.1","398","0.857","564","0.52","121","0.413","0.537","0.626","21.1","5.4","4.9","1.4","0.3","1.7","26.5","26","31.4","9.7","129.2","112"
"","Miles Bridges","Cha","F","26","62","37.6","24.7","10.4","193","0.808","696","0.526","404","0.347","0.524","0.552","21.1","7.4","3.3","1","0.5","2.1","28.5","24.4","31.8","8.5","107.9","117.4"
"","Alperen Sengun","Hou","C","21.7","63","32.5","27","14.2","352","0.693","871","0.567","111","0.297","0.553","0.585","21.1","9.4","5","1.2","0.7","2.6","30.5","26.1","35.4","12.3","117.8","103.2"
"","Jerami Grant","Por","F","30","54","33.9","25.7","12","312","0.817","574","0.474","276","0.402","0.516","0.573","21","3.5","2.8","0.8","0.6","2.1","24.5","23.8","27.3","7","113","117.1"
"","Victor Wembanyama","San","F","20.2","65","29.2","32","18.1","333","0.796","717","0.537","340","0.324","0.52","0.567","21","10.5","3.6","1.2","3.4","3.6","31.5","24.6","35.1","12.7","104.1","108.4"
"","Brandon Ingram","Nor","F","26.6","63","33","27.2","13.8","307","0.801","769","0.532","239","0.356","0.532","0.577","20.9","5.1","5.8","0.8","0.6","2.6","26","26.7","31.8","10.3","115","109.2"
"","Jamal Murray","Den","G","27.1","54","32.1","27.5","11.2","172","0.855","599","0.503","303","0.419","0.545","0.578","20.9","4.1","6.7","1","0.6","2.1","25","27.6","31.7","10.4","118.5","112.7"
"","RJ Barrett","Tor","F","23.8","27","33.7","24.4","13","130","0.592","298","0.597","103","0.417","0.605","0.613","20.8","6.2","4","0.6","0.4","2.2","27","24.8","31","9.5","114.8","113.9"
"","Tyler Herro","Mia","G","24.2","36","33.6","28","10.6","79","0.835","355","0.468","293","0.399","0.527","0.549","20.8","5.3","4.4","0.8","0.1","2.1","26.1","25.2","30.5","9.4","106.7","111.3"
"","Mikal Bridges","Bro","F","27.6","74","35.5","24.7","11.4","310","0.813","667","0.495","540","0.37","0.522","0.563","20.4","4.7","3.7","1","0.4","2.1","25.2","24.1","28.9","8","111.8","116.5"
"","Kristaps Porzingis","Bos","C","28.7","51","29.8","25.3","10.7","272","0.857","414","0.604","271","0.369","0.584","0.642","20.3","6.9","1.9","0.7","1.8","1.6","27.1","22.2","29.1","8.6","126.3","104.5"
"","Tyrese Haliburton","Ind","G","24.1","62","32.2","24.9","13.2","203","0.857","475","0.587","479","0.365","0.568","0.602","20.3","4","11","1.2","0.7","2.3","24.2","31.3","35.2","12","127.6","120.1"
"","Bojan Bogdanovic","Det","F","34.9","28","32.9","24.6","12.9","104","0.779","218","0.518","207","0.415","0.569","0.6","20.2","3.4","2.5","0.8","0.1","2.3","23.5","22.7","26.1","6.8","110.6","117.5"
"","Jalen Green","Hou","G","22.1","73","31.7","27.5","12.1","326","0.798","661","0.498","531","0.341","0.504","0.547","20","5.1","3.4","0.8","0.4","2.2","25.1","23.5","28.6","8.9","107.9","112.2"
"","Scottie Barnes","Tor","F-G","22.7","60","34.9","24.9","14.9","251","0.781","646","0.536","296","0.341","0.528","0.566","19.9","8.2","6.1","1.3","1.5","2.8","28.1","25.9","34.2","11.4","113.7","114.5"
"","Bam Adebayo","Mia","C","26.7","62","34.3","25.4","13.6","355","0.749","882","0.526","28","0.357","0.526","0.574","19.7","10.7","4","1.1","1","2.3","30.4","23.7","34.4","11","114.6","105"
"","Domantas Sabonis","Sac","C","27.9","73","35.8","22","20.2","364","0.706","873","0.621","77","0.403","0.619","0.646","19.6","13.6","8.3","0.9","0.6","3.3","33.3","28","41.6","14.6","127.4","107.2"
"","Franz Wagner","Orl","F","22.6","65","32.7","25.7","11.5","276","0.848","694","0.563","304","0.286","0.523","0.57","19.6","5.3","3.8","1.1","0.4","2","25","23.5","28.8","9","114.7","107.1"
"","Zach LaVine","Chi","G","29.1","25","34.9","23.9","12.1","103","0.854","207","0.536","169","0.349","0.531","0.578","19.5","5.1","3.9","0.8","0.3","2.1","24.6","23.4","28.5","8.4","113","113.4"
"","Devin Vassell","San","G","23.6","68","33.1","23.5","9.3","201","0.801","609","0.545","447","0.371","0.55","0.578","19.5","3.8","4.1","1.1","0.3","1.6","23.3","23.5","27.4","8.1","113.5","118.6"
"","Coby White","Chi","G","24.1","71","36.6","22.8","12.2","242","0.839","578","0.5","514","0.381","0.534","0.571","19.3","4.7","5.3","0.7","0.2","2.1","24","24.5","29.2","8.6","114.7","114.6"
"","Jalen Williams","Okc","F","23","66","31.7","23.8","11.2","211","0.825","707","0.569","228","0.434","0.589","0.62","19.3","4","4.5","1.1","0.6","1.8","23.3","23.8","27.8","8.9","121.6","109.2"
"","CJ McCollum","Nor","G","32.5","57","31.8","24","9.3","118","0.805","403","0.501","460","0.415","0.566","0.586","18.8","4.2","4.5","0.9","0.6","1.6","23","23.3","27.5","8.9","117.9","110.3"
"","Collin Sexton","Uta","G","25.2","74","26.6","27.3","13.3","344","0.863","674","0.537","309","0.398","0.556","0.613","18.8","2.6","4.9","0.8","0.2","2","21.4","23.7","26.3","9.3","123.4","117.5"
